	rep	session	run	block	trial	trial_type	rating_type	rating	rating_RT
id-1347_gender-F_age-27	1	4	1	1	1	id-1347_gender-F_age-27	dominance	-0.7975	1.893
id-1354_gender-F_age-23	1	4	1	1	2	id-1354_gender-F_age-23	dominance	-0.5525	2.185
id-1307_gender-F_age-22	1	4	1	1	3	id-1307_gender-F_age-22	dominance	-0.38249999999999995	1.2009999999999998
id-1297_gender-F_age-22	1	4	1	1	4	id-1297_gender-F_age-22	dominance	0.1825000000000001	0.8009999999999999
id-1339_gender-F_age-30	1	4	1	1	5	id-1339_gender-F_age-30	dominance	-0.22499999999999998	0.693
id-1366_gender-F_age-24	1	4	1	1	6	id-1366_gender-F_age-24	dominance	-0.10999999999999999	0.96
id-1289_gender-F_age-20	1	4	1	1	7	id-1289_gender-F_age-20	dominance	0.1775	0.718
id-1360_gender-F_age-20	1	4	1	1	8	id-1360_gender-F_age-20	dominance	-0.2775000000000001	0.809
id-1315_gender-M_age-16	1	4	1	1	9	id-1315_gender-M_age-16	dominance	0.5074999999999998	0.943
id-1363_gender-M_age-19	1	4	1	1	10	id-1363_gender-M_age-19	dominance	-0.31999999999999995	0.7090000000000001
id-1291_gender-F_age-24	1	4	1	1	11	id-1291_gender-F_age-24	dominance	-0.007499999999999951	0.735
id-1358_gender-F_age-32	1	4	1	1	12	id-1358_gender-F_age-32	dominance	0.14500000000000002	0.735
id-1296_gender-F_age-23	1	4	1	1	13	id-1296_gender-F_age-23	dominance	-0.22750000000000004	0.759
id-1310_gender-F_age-28	1	4	1	1	14	id-1310_gender-F_age-28	dominance	0.49	0.818
id-1280_gender-M_age-18	1	4	1	1	15	id-1280_gender-M_age-18	dominance	0.007500000000000062	0.843
id-1377_gender-M_age-20	1	4	1	1	16	id-1377_gender-M_age-20	dominance	0.32499999999999996	0.809
id-1311_gender-F_age-22	1	4	1	1	17	id-1311_gender-F_age-22	dominance	0.0024999999999999467	0.434
id-1269_gender-F_age-23	1	4	1	1	18	id-1269_gender-F_age-23	dominance	0.20999999999999996	1.2930000000000001
id-1342_gender-M_age-19	1	4	1	1	19	id-1342_gender-M_age-19	dominance	0.6600000000000001	1.0090000000000001
id-1273_gender-F_age-20	1	4	1	1	20	id-1273_gender-F_age-20	dominance	-0.265	0.6679999999999999
id-1373_gender-F_age-30	1	4	1	1	21	id-1373_gender-F_age-30	dominance	-0.7075	1.3259999999999998
id-1361_gender-F_age-19	1	4	1	1	22	id-1361_gender-F_age-19	dominance	-0.08250000000000002	2.01
id-1318_gender-M_age-35	1	4	1	1	23	id-1318_gender-M_age-35	dominance	0.575	0.884
id-1266_gender-M_age-21	1	4	1	1	24	id-1266_gender-M_age-21	dominance	0.3325	0.718
id-1295_gender-F_age-26	1	4	1	1	25	id-1295_gender-F_age-26	dominance	0.16999999999999993	0.44299999999999995
id-1293_gender-F_age-31	1	4	1	1	26	id-1293_gender-F_age-31	dominance	-0.04249999999999998	0.526
id-1362_gender-F_age-24	1	4	1	1	27	id-1362_gender-F_age-24	dominance	-0.43999999999999995	0.893
id-1294_gender-F_age-26	1	4	1	1	28	id-1294_gender-F_age-26	dominance	-0.1925	0.601
id-1323_gender-F_age-23	1	4	1	1	29	id-1323_gender-F_age-23	dominance	0.18999999999999995	0.5760000000000001
id-1279_gender-F_age-19	1	4	1	1	30	id-1279_gender-F_age-19	dominance	-0.53	1.109
id-1356_gender-F_age-20	1	4	1	1	31	id-1356_gender-F_age-20	dominance	-0.25249999999999995	0.5760000000000001
id-1274_gender-F_age-33	1	4	1	1	32	id-1274_gender-F_age-33	dominance	0.33499999999999996	1.168
id-1370_gender-M_age-19	1	4	1	1	33	id-1370_gender-M_age-19	dominance	0.16749999999999998	0.44299999999999995
id-1376_gender-F_age-19	1	4	1	1	34	id-1376_gender-F_age-19	dominance	-0.21499999999999997	0.551
id-1302_gender-F_age-30	1	4	1	1	35	id-1302_gender-F_age-30	dominance	0.04499999999999993	0.485
id-1270_gender-F_age-30	1	4	1	1	36	id-1270_gender-F_age-30	dominance	0.2875000000000001	0.7759999999999999
id-1344_gender-M_age-25	1	4	1	1	37	id-1344_gender-M_age-25	dominance	-0.24250000000000005	0.835
id-1341_gender-M_age-19	1	4	1	1	38	id-1341_gender-M_age-19	dominance	0.06499999999999995	1.5430000000000001
id-1285_gender-F_age-19	1	4	1	1	39	id-1285_gender-F_age-19	dominance	-0.33499999999999996	0.759
id-1264_gender-F_age-26	1	4	1	1	40	id-1264_gender-F_age-26	dominance	-0.4650000000000001	0.91
id-1260_gender-F_age-22	1	4	1	1	41	id-1260_gender-F_age-22	dominance	-0.5875	1.06
id-1355_gender-F_age-19	1	4	1	1	42	id-1355_gender-F_age-19	dominance	-0.475	0.768
id-1290_gender-F_age-23	1	4	1	1	43	id-1290_gender-F_age-23	dominance	0.47	0.809
id-1367_gender-M_age-20	1	4	1	1	44	id-1367_gender-M_age-20	dominance	0.49750000000000005	0.884
id-1378_gender-F_age-19	1	4	1	1	45	id-1378_gender-F_age-19	dominance	0.15749999999999997	0.7759999999999999
id-1335_gender-M_age-23	1	4	1	1	46	id-1335_gender-M_age-23	dominance	0.3274999999999999	1.043
id-1309_gender-M_age-22	1	4	1	1	47	id-1309_gender-M_age-22	dominance	-0.10250000000000004	0.526
id-1345_gender-M_age-18	1	4	1	1	48	id-1345_gender-M_age-18	dominance	0.5925	1.193
id-1306_gender-F_age-21	1	4	1	1	49	id-1306_gender-F_age-21	dominance	0.37749999999999995	1.251
id-1380_gender-F_age-21	1	4	1	1	50	id-1380_gender-F_age-21	dominance	0.25750000000000006	0.626
id-1291_gender-F_age-24	1	4	1	4	1	id-1291_gender-F_age-24	arousal	0.650818303187789	1.4770027387294251
id-1291_gender-F_age-24	1	4	1	4	1	id-1291_gender-F_age-24	valence	-0.4293566108769489	1.4770027387294251
id-1344_gender-M_age-25	1	4	1	4	2	id-1344_gender-M_age-25	arousal	0.4116829756107542	0.7268884112208979
id-1344_gender-M_age-25	1	4	1	4	2	id-1344_gender-M_age-25	valence	-0.6277302348897165	0.7268884112208979
id-1293_gender-F_age-31	1	4	1	4	3	id-1293_gender-F_age-31	arousal	0.8600617148176946	1.2436792358003004
id-1293_gender-F_age-31	1	4	1	4	3	id-1293_gender-F_age-31	valence	-0.6793617260711217	1.2436792358003004
id-1279_gender-F_age-19	1	4	1	4	4	id-1279_gender-F_age-19	arousal	0.6222851106928019	1.943489157827571
id-1279_gender-F_age-19	1	4	1	4	4	id-1279_gender-F_age-19	valence	0.36685533207840576	1.943489157827571
id-1378_gender-F_age-19	1	4	1	4	5	id-1378_gender-F_age-19	arousal	0.3124961636043704	0.660334859611794
id-1378_gender-F_age-19	1	4	1	4	5	id-1378_gender-F_age-19	valence	0.5869685313254491	0.660334859611794
id-1306_gender-F_age-21	1	4	1	4	6	id-1306_gender-F_age-21	arousal	0.3016263759872324	1.3354750938087818
id-1306_gender-F_age-21	1	4	1	4	6	id-1306_gender-F_age-21	valence	-0.1630468142570692	1.3354750938087818
id-1342_gender-M_age-19	1	4	1	4	7	id-1342_gender-M_age-19	arousal	0.8858774604083972	3.4857043072570377
id-1342_gender-M_age-19	1	4	1	4	7	id-1342_gender-M_age-19	valence	-0.6929489605925442	3.4857043072570377
id-1339_gender-F_age-30	1	4	1	4	8	id-1339_gender-F_age-30	arousal	0.43885744465359905	2.318726679829524
id-1339_gender-F_age-30	1	4	1	4	8	id-1339_gender-F_age-30	valence	0.8505608810410444	2.318726679829524
id-1347_gender-F_age-27	1	4	1	4	9	id-1347_gender-F_age-27	arousal	0.8070715001841471	1.0937195786946177
id-1347_gender-F_age-27	1	4	1	4	9	id-1347_gender-F_age-27	valence	0.3967472480255351	1.0937195786946177
id-1310_gender-F_age-28	1	4	1	4	10	id-1310_gender-F_age-28	arousal	0.7255480930556124	1.226938670045456
id-1310_gender-F_age-28	1	4	1	4	10	id-1310_gender-F_age-28	valence	-0.057066384989974225	1.226938670045456
id-1366_gender-F_age-24	1	4	1	4	11	id-1366_gender-F_age-24	arousal	0.7663097966198797	0.9020538502936688
id-1366_gender-F_age-24	1	4	1	4	11	id-1366_gender-F_age-24	valence	0.2500051151941728	0.9020538502936688
id-1323_gender-F_age-23	1	4	1	4	12	id-1323_gender-F_age-23	arousal	0.7690272435241643	1.0020348032558104
id-1323_gender-F_age-23	1	4	1	4	12	id-1323_gender-F_age-23	valence	-0.11956766378851742	1.0020348032558104
id-1318_gender-M_age-35	1	4	1	4	13	id-1318_gender-M_age-35	arousal	0.6358723452142243	0.8851973722930779
id-1318_gender-M_age-35	1	4	1	4	13	id-1318_gender-M_age-35	valence	-0.07065361951139666	0.8851973722930779
id-1341_gender-M_age-19	1	4	1	4	14	id-1341_gender-M_age-19	arousal	0.5652187257028277	0.7770346447814518
id-1341_gender-M_age-19	1	4	1	4	14	id-1341_gender-M_age-19	valence	0.28533192494987114	0.7770346447814518
id-1355_gender-F_age-19	1	4	1	4	15	id-1355_gender-F_age-19	arousal	0.6779927722306338	3.127416838245153
id-1355_gender-F_age-19	1	4	1	4	15	id-1355_gender-F_age-19	valence	-0.1032629823628105	3.127416838245153
id-1345_gender-M_age-18	1	4	1	4	16	id-1345_gender-M_age-18	arousal	0.2268965861194091	0.9269819258397548
id-1345_gender-M_age-18	1	4	1	4	16	id-1345_gender-M_age-18	valence	0.2500051151941728	0.9269819258397548
id-1294_gender-F_age-26	1	4	1	4	17	id-1294_gender-F_age-26	arousal	0.5366855332078406	1.0269100542100205
id-1294_gender-F_age-26	1	4	1	4	17	id-1294_gender-F_age-26	valence	0.4565310799197938	1.0269100542100205
id-1296_gender-F_age-23	1	4	1	4	18	id-1296_gender-F_age-23	arousal	0.33559446229078854	2.1274056696183834
id-1296_gender-F_age-23	1	4	1	4	18	id-1296_gender-F_age-23	valence	0.5054451241969146	2.1274056696183834
id-1363_gender-M_age-19	1	4	1	4	19	id-1363_gender-M_age-19	arousal	0.7418527744813194	0.910375383619794
id-1363_gender-M_age-19	1	4	1	4	19	id-1363_gender-M_age-19	valence	0.2364178806727504	0.910375383619794
id-1362_gender-F_age-24	1	4	1	4	20	id-1362_gender-F_age-24	arousal	0.21738552195441335	0.9519652408143884
id-1362_gender-F_age-24	1	4	1	4	20	id-1362_gender-F_age-24	valence	0.20652596472562101	0.9519652408143884
id-1307_gender-F_age-22	1	4	1	4	21	id-1307_gender-F_age-22	arousal	0.555707661537832	0.6184841998629054
id-1307_gender-F_age-22	1	4	1	4	21	id-1307_gender-F_age-22	valence	-0.3423983099398454	0.6184841998629054
id-1285_gender-F_age-19	1	4	1	4	22	id-1285_gender-F_age-19	arousal	0.7635923497155952	2.9355902212319047
id-1285_gender-F_age-19	1	4	1	4	22	id-1285_gender-F_age-19	valence	-0.2581574559070263	2.9355902212319047
id-1273_gender-F_age-20	1	4	1	4	23	id-1273_gender-F_age-20	arousal	0.3016263759872324	0.6685486307715109
id-1273_gender-F_age-20	1	4	1	4	23	id-1273_gender-F_age-20	valence	0.6684919384539837	0.6685486307715109
id-1266_gender-M_age-21	1	4	1	4	24	id-1266_gender-M_age-21	arousal	0.21059190469370215	1.318633104840046
id-1266_gender-M_age-21	1	4	1	4	24	id-1266_gender-M_age-21	valence	0.4592485268240783	1.318633104840046
id-1361_gender-F_age-19	1	4	1	4	25	id-1361_gender-F_age-19	arousal	0.706525964725621	0.935285649731668
