	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1344_AU13-66_AU14-66_AU24-33_AU9-33	1	1	1	1	1	test	id-1344_AU13-66_AU14-66_AU24-33_AU9-33	valence	-0.4347915046855179		4.777413101539423
id-1344_AU13-66_AU14-66_AU24-33_AU9-33	1	1	1	1	1	test	id-1344_AU13-66_AU14-66_AU24-33_AU9-33	arousal	0.1875038363956296		4.777413101539423
id-1269_AU14-100_AU20-100_AU5-66	1	1	1	1	2	train	id-1269_AU14-100_AU20-100_AU5-66	valence	-0.4619659737283627		2.604119073952461
id-1269_AU14-100_AU20-100_AU5-66	1	1	1	1	2	train	id-1269_AU14-100_AU20-100_AU5-66	arousal	0.1277200045013709		2.604119073952461
id-1361_AU1-66_AU17-66_AU6-66_AU7-100	1	1	1	1	3	train	id-1361_AU1-66_AU17-66_AU6-66_AU7-100	valence	-0.5081625711011989		3.77743392964112
id-1361_AU1-66_AU17-66_AU6-66_AU7-100	1	1	1	1	3	train	id-1361_AU1-66_AU17-66_AU6-66_AU7-100	arousal	0.0027174469042844872		3.77743392964112
id-1355_AU13-66_AU2-66_AU6-33	1	1	1	1	4	test_extra	id-1355_AU13-66_AU2-66_AU6-33	valence	-0.6032732127511561		1.7281244566584064
id-1355_AU13-66_AU2-66_AU6-33	1	1	1	1	4	test_extra	id-1355_AU13-66_AU2-66_AU6-33	arousal	0.0		1.7281244566584064
id-1264_AU10Open-33_AU25-66_AU4-66	1	1	1	1	5	test	id-1264_AU10Open-33_AU25-66_AU4-66	valence	-0.5081625711011989		2.5690025935509766
id-1264_AU10Open-33_AU25-66_AU4-66	1	1	1	1	5	test	id-1264_AU10Open-33_AU25-66_AU4-66	arousal	0.09239319474567256		2.5690025935509766
id-1358_AU13-33_AU15-33	1	1	1	1	6	test_extra	id-1358_AU13-33_AU15-33	valence	-0.07880596022425011		6.452688213586953
id-1358_AU13-33_AU15-33	1	1	1	1	6	test_extra	id-1358_AU13-33_AU15-33	arousal	0.04347915046855179		6.452688213586953
id-1297_AU11-100_AU24-33	1	1	1	1	7	test	id-1297_AU11-100_AU24-33	valence	-0.11956766378851742		2.8356674893257146
id-1297_AU11-100_AU24-33	1	1	1	1	7	test	id-1297_AU11-100_AU24-33	arousal	0.04619659737283628		2.8356674893257146
id-1360_AU1-100_AU13-66_AU27i-100_AU4-33_AU9-100	1	1	1	1	8	test_extra	id-1360_AU1-100_AU13-66_AU27i-100_AU4-33_AU9-100	valence	-0.1250025575970864		4.88574579091437
id-1360_AU1-100_AU13-66_AU27i-100_AU4-33_AU9-100	1	1	1	1	8	test_extra	id-1360_AU1-100_AU13-66_AU27i-100_AU4-33_AU9-100	arousal	0.7962119429553548		4.88574579091437
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	1	1	1	1	9	test_extra	id-1264_AU22-100_AU24-66_AU25-100_AU9-100	valence	-0.4266391639726645		4.6274737143321545
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	1	1	1	1	9	test_extra	id-1264_AU22-100_AU24-66_AU25-100_AU9-100	arousal	0.1684817080656382		4.6274737143321545
