	score	sub	feature_set
0	-0.065225454407281	01	vertexPCA_type-static
0	0.6337049457711181	01	vertexPCA_type-dynamic
0	0.6305693742845363	01	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.027317215387198335	02	vertexPCA_type-static
0	0.24702303836134598	02	vertexPCA_type-dynamic
0	0.2257131891836784	02	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.05972834476588518	03	vertexPCA_type-static
0	0.4008186891787852	03	vertexPCA_type-dynamic
0	0.3782392879724864	03	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.04006681454679273	04	vertexPCA_type-static
0	0.05927033133528464	04	vertexPCA_type-dynamic
0	0.03569834273451572	04	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.03981087144437834	05	vertexPCA_type-static
0	0.3474529678793663	05	vertexPCA_type-dynamic
0	0.3012910781864167	05	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.04262993045216534	06	vertexPCA_type-static
0	0.314121418887257	06	vertexPCA_type-dynamic
0	0.3058660309969063	06	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.000144777654049022	07	vertexPCA_type-static
0	0.3313123158405901	07	vertexPCA_type-dynamic
0	0.3538896991903694	07	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.08771933181199221	08	vertexPCA_type-static
0	0.38221273710945675	08	vertexPCA_type-dynamic
0	0.34626077791574533	08	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.013690681319375675	09	vertexPCA_type-static
0	0.2700606655678585	09	vertexPCA_type-dynamic
0	0.3084148291374084	09	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.03862089211210973	10	vertexPCA_type-static
0	0.24788198078155743	10	vertexPCA_type-dynamic
0	0.20984095288234644	10	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.10427641822513767	11	vertexPCA_type-static
0	0.540568524576869	11	vertexPCA_type-dynamic
0	0.49818677176860166	11	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.03657840620554664	12	vertexPCA_type-static
0	0.02872091975711999	12	vertexPCA_type-dynamic
0	0.10621286910407901	12	vertexPCA_type-static+vertexPCA_type-dynamic
0	-0.08236370531168524	13	vertexPCA_type-static
0	0.5382512094910994	13	vertexPCA_type-dynamic
0	0.5324733016680714	13	vertexPCA_type-static+vertexPCA_type-dynamic
