	score	sub	feature_set
0	0.2063586945498005	01	vertexPCA_type-static
0	0.31012596668168363	01	vertexPCA_type-dynamic
0	0.5669556194896109	01	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.05383599676370732	02	vertexPCA_type-static
0	0.29255905068258453	02	vertexPCA_type-dynamic
0	0.35201667732684655	02	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.45091842079722383	03	vertexPCA_type-static
0	-0.007749171034247104	03	vertexPCA_type-dynamic
0	0.48899407020696	03	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.07920732358958615	04	vertexPCA_type-static
0	0.39229612237928413	04	vertexPCA_type-dynamic
0	0.5040954020959243	04	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.0038828298007111406	05	vertexPCA_type-static
0	0.2530454850564055	05	vertexPCA_type-dynamic
0	0.3103602595849379	05	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.23312991316752674	06	vertexPCA_type-static
0	0.16582175160204193	06	vertexPCA_type-dynamic
0	0.4355326135466766	06	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.19560157797772088	07	vertexPCA_type-static
0	0.07794259299475814	07	vertexPCA_type-dynamic
0	0.3092651119827862	07	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.03866518530176549	08	vertexPCA_type-static
0	0.37759804570760347	08	vertexPCA_type-dynamic
0	0.4291488292254609	08	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.33773502764338303	09	vertexPCA_type-static
0	0.03290804795391805	09	vertexPCA_type-dynamic
0	0.39239838939588	09	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.14617799449214525	10	vertexPCA_type-static
0	0.08415437503936413	10	vertexPCA_type-dynamic
0	0.24778949044295195	10	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.06995502311058727	11	vertexPCA_type-static
0	0.3246082491835631	11	vertexPCA_type-dynamic
0	0.433409245827428	11	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.4755243672539081	12	vertexPCA_type-static
0	0.005789588317925309	12	vertexPCA_type-dynamic
0	0.5268057490932667	12	vertexPCA_type-static+vertexPCA_type-dynamic
0	0.03433798426977969	13	vertexPCA_type-static
0	0.43460111867370343	13	vertexPCA_type-dynamic
0	0.500608047809826	13	vertexPCA_type-static+vertexPCA_type-dynamic
